year,month,monthlyrain,yearmonth
1909,2,946,Feb 1909
1909,3,613,Mar 1909
1909,4,506,Apr 1909
1909,5,657,May 1909
1909,6,0,Jun 1909
1909,7,0,Jul 1909
1909,8,0,Aug 1909
1909,9,500,Sep 1909
1909,10,153,Oct 1909
1909,12,547,Dec 1909
1910,1,1141,Jan 1910
1910,12,84,Dec 1910
1911,1,839,Jan 1911
1911,2,389,Feb 1911
1911,3,2073,Mar 1911
1911,4,462,Apr 1911
1911,5,119,May 1911
1911,6,0,Jun 1911
1911,7,264,Jul 1911
1911,8,28,Aug 1911
1911,9,18,Sep 1911
1911,10,559,Oct 1911
1911,11,725,Nov 1911
1911,12,41,Dec 1911
1912,1,223,Jan 1912
1912,2,1009,Feb 1912
1912,3,288,Mar 1912
1912,4,770,Apr 1912
1912,5,696,May 1912
1912,6,0,Jun 1912
1912,7,0,Jul 1912
1912,8,0,Aug 1912
1912,9,0,Sep 1912
1912,10,0,Oct 1912
1912,11,79,Nov 1912
1912,12,385,Dec 1912
1913,1,237,Jan 1913
1913,2,1014,Feb 1913
1913,3,0,Mar 1913
1913,4,699,Apr 1913
1913,5,0,May 1913
1913,6,43,Jun 1913
1913,7,10,Jul 1913
1913,8,127,Aug 1913
1913,9,327,Sep 1913
1913,10,290,Oct 1913
1913,11,189,Nov 1913
1913,12,0,Dec 1913
1914,1,363,Jan 1914
1914,2,516,Feb 1914
1914,3,336,Mar 1914
1914,4,469,Apr 1914
1914,5,320,May 1914
1914,6,0,Jun 1914
1914,7,0,Jul 1914
1914,8,0,Aug 1914
1914,9,302,Sep 1914
1914,10,300,Oct 1914
1914,11,1087,Nov 1914
1914,12,1586,Dec 1914
1915,1,953,Jan 1915
1915,2,1246,Feb 1915
1915,3,81,Mar 1915
1915,4,43,Apr 1915
1915,5,61,May 1915
1915,6,0,Jun 1915
1915,7,381,Jul 1915
1915,8,0,Aug 1915
1915,9,249,Sep 1915
1915,10,0,Oct 1915
1915,11,536,Nov 1915
1915,12,659,Dec 1915
1916,1,922,Jan 1916
1916,2,110,Feb 1916
1916,3,714,Mar 1916
1916,4,752,Apr 1916
1916,5,0,May 1916
1916,6,0,Jun 1916
1916,7,74,Jul 1916
1916,8,0,Aug 1916
1916,9,36,Sep 1916
1916,10,536,Oct 1916
1916,11,250,Nov 1916
1916,12,847,Dec 1916
1917,1,1347,Jan 1917
1917,2,1240,Feb 1917
1917,3,610,Mar 1917
1917,4,378,Apr 1917
1917,5,28,May 1917
1917,6,0,Jun 1917
1917,7,0,Jul 1917
1917,8,622,Aug 1917
1917,9,0,Sep 1917
1917,10,153,Oct 1917
1917,12,384,Dec 1917
1918,1,1105,Jan 1918
1918,2,594,Feb 1918
1918,3,998,Mar 1918
1918,4,0,Apr 1918
1918,5,244,May 1918
1918,6,0,Jun 1918
1918,7,38,Jul 1918
1918,8,627,Aug 1918
1918,9,567,Sep 1918
1918,10,939,Oct 1918
1918,11,618,Nov 1918
1918,12,226,Dec 1918
1919,1,877,Jan 1919
1919,2,188,Feb 1919
1919,3,686,Mar 1919
1919,4,219,Apr 1919
1919,5,132,May 1919
1919,6,0,Jun 1919
1919,7,56,Jul 1919
1919,8,48,Aug 1919
1919,9,129,Sep 1919
1919,10,157,Oct 1919
1919,11,586,Nov 1919
1919,12,282,Dec 1919
1920,1,562,Jan 1920
1920,2,1846,Feb 1920
1920,3,1378,Mar 1920
1920,4,102,Apr 1920
1920,5,158,May 1920
1920,6,15,Jun 1920
1920,7,0,Jul 1920
1920,8,165,Aug 1920
1920,9,104,Sep 1920
1920,10,822,Oct 1920
1920,11,363,Nov 1920
1920,12,129,Dec 1920
1921,2,1326,Feb 1921
1921,9,183,Sep 1921
1921,10,149,Oct 1921
1921,11,353,Nov 1921
1921,12,801,Dec 1921
1922,3,148,Mar 1922
1922,4,0,Apr 1922
1922,5,229,May 1922
1922,6,580,Jun 1922
1922,7,0,Jul 1922
1922,8,25,Aug 1922
1922,9,29,Sep 1922
1922,10,286,Oct 1922
1922,11,975,Nov 1922
1922,12,317,Dec 1922
1923,1,1893,Jan 1923
1923,2,1671,Feb 1923
1923,3,336,Mar 1923
1923,4,796,Apr 1923
1923,5,503,May 1923
1923,6,248,Jun 1923
1923,7,110,Jul 1923
1923,8,150,Aug 1923
1923,9,5,Sep 1923
1923,10,224,Oct 1923
1923,11,846,Nov 1923
1923,12,65,Dec 1923
1924,1,1021,Jan 1924
1924,3,1722,Mar 1924
1924,4,300,Apr 1924
1924,5,18,May 1924
1924,6,0,Jun 1924
1924,7,0,Jul 1924
1924,8,160,Aug 1924
1924,9,363,Sep 1924
1924,10,523,Oct 1924
1924,11,601,Nov 1924
1924,12,1361,Dec 1924
1925,1,989,Jan 1925
1925,2,877,Feb 1925
1925,3,1566,Mar 1925
1925,4,979,Apr 1925
1925,5,712,May 1925
1925,6,0,Jun 1925
1925,7,8,Jul 1925
1925,8,43,Aug 1925
1925,9,477,Sep 1925
1925,11,359,Nov 1925
1925,12,359,Dec 1925
1926,1,671,Jan 1926
1926,2,1031,Feb 1926
1926,3,1060,Mar 1926
1926,4,341,Apr 1926
1926,5,83,May 1926
1926,6,3,Jun 1926
1926,7,28,Jul 1926
1926,8,0,Aug 1926
1926,9,186,Sep 1926
1926,10,302,Oct 1926
1926,11,1105,Nov 1926
1926,12,403,Dec 1926
1927,1,591,Jan 1927
1927,2,250,Feb 1927
1927,3,1597,Mar 1927
1927,4,280,Apr 1927
1927,5,3,May 1927
1927,6,0,Jun 1927
1927,7,97,Jul 1927
1927,8,188,Aug 1927
1927,9,33,Sep 1927
1927,10,341,Oct 1927
1927,11,156,Nov 1927
1927,12,435,Dec 1927
1928,1,839,Jan 1928
1928,2,613,Feb 1928
1928,3,705,Mar 1928
1928,4,340,Apr 1928
1928,5,8,May 1928
1928,6,58,Jun 1928
1928,7,0,Jul 1928
1928,8,208,Aug 1928
1928,9,119,Sep 1928
1928,10,229,Oct 1928
1928,11,818,Nov 1928
1928,12,491,Dec 1928
1929,1,636,Jan 1929
1929,2,361,Feb 1929
1929,3,1403,Mar 1929
1929,4,219,Apr 1929
1929,5,143,May 1929
1929,6,469,Jun 1929
1929,7,233,Jul 1929
1929,8,105,Aug 1929
1929,9,1007,Sep 1929
1929,10,130,Oct 1929
1929,11,596,Nov 1929
1929,12,1159,Dec 1929
1930,1,614,Jan 1930
1930,2,554,Feb 1930
1930,3,718,Mar 1930
1930,4,719,Apr 1930
1930,5,173,May 1930
1930,6,35,Jun 1930
1930,7,254,Jul 1930
1930,8,38,Aug 1930
1930,9,0,Sep 1930
1930,10,116,Oct 1930
1930,11,137,Nov 1930
1930,12,361,Dec 1930
1931,1,880,Jan 1931
1931,2,470,Feb 1931
1931,3,519,Mar 1931
1931,4,1171,Apr 1931
1931,5,0,May 1931
1931,6,23,Jun 1931
1931,7,445,Jul 1931
1931,8,36,Aug 1931
1931,9,0,Sep 1931
1931,10,427,Oct 1931
1931,11,764,Nov 1931
1931,12,134,Dec 1931
1932,1,656,Jan 1932
1932,2,950,Feb 1932
1932,3,743,Mar 1932
1932,4,0,Apr 1932
1932,5,0,May 1932
1932,6,0,Jun 1932
1932,7,8,Jul 1932
1932,8,0,Aug 1932
1932,9,574,Sep 1932
1932,10,434,Oct 1932
1932,11,370,Nov 1932
1932,12,452,Dec 1932
1933,1,111,Jan 1933
1933,2,632,Feb 1933
1933,3,494,Mar 1933
1933,4,81,Apr 1933
1933,5,15,May 1933
1933,6,28,Jun 1933
1933,7,0,Jul 1933
1933,8,0,Aug 1933
1933,9,10,Sep 1933
1933,10,56,Oct 1933
1933,11,1350,Nov 1933
1933,12,1271,Dec 1933
1934,1,1691,Jan 1934
1934,2,525,Feb 1934
1934,3,780,Mar 1934
1934,4,407,Apr 1934
1934,5,593,May 1934
1934,6,0,Jun 1934
1934,7,132,Jul 1934
